progress,answer,content,speaker
41,,,
52,校史館,請到台大的校史館，使用你的卡片去感應裝置吧！,1
57,869212,Error: Wrong Answer.,2
67,生科館,去生科館看看吧，我會告訴你有趣的事！,1
89,明達館,訊號修復機就在明達館。,1
93,1747049,Error: Password incorrect. Please try again.,2
97,NEU,Error: Username not found.,2
115,社科院,現在那裡的屋頂上想必種滿了植物吧......,1
126,2614118,Error: Wrong Answer.,2
129,計中,小型能量核就存放在台大的計算機研究中心裡頭，快去吧！,1
147,博雅館,沒時間了，快去博雅館！,1
153,31206,Error: Invalid Password.,2
197,FH29,你知道編號啦？我也稍微冷靜下來了，那我就來試試吧！\不，等等！不是這個！\好險沒發生爆炸！真危險啊，請你認真點找吧！,1
219,醉月湖,去醉月湖，照我的話去做,1
305,還沒寫完,未完成,2